# product defintion file
# The fields are
# id,underlyerId,symbol,exchange,productType,currency,callPut,lotSize,listingDate,lastTradingDate,expiryDate,strike,contractRatio,conversionRatio,constituentCount
#
# underlyer definitions. supposed to be manually added
1,0,T,3,8,1,0,1,19700101,19700101,19700101,0,1,1,0
2,0,V,6,3,1,0,1,19700101,19700101,19700101,0,1,1,0
3,0,ZN,4,3,1,0,1,19700101,19700101,19700101,0,1,1,0
4,0,TF,3,8,1,0,1,19700101,19700101,19700101,0,1,1,0
5,0,AU,4,3,1,0,1,19700101,19700101,19700101,0,1,1,0
6,0,ZC,5,3,1,0,1,19700101,19700101,19700101,0,1,1,0
7,0,IF,3,1,1,0,1,19700101,19700101,19700101,0,1,1,0
8,0,IC,3,1,1,0,1,19700101,19700101,19700101,0,1,1,0
9,0,IH,3,1,1,0,1,19700101,19700101,19700101,0,1,1,0
10,0,I,6,3,1,0,1,19700101,19700101,19700101,0,1,1,0
11,0,JM,6,3,1,0,1,19700101,19700101,19700101,0,1,1,0
12,0,CU,4,3,1,0,1,19700101,19700101,19700101,0,1,1,0
13,0,C,6,3,1,0,1,19700101,19700101,19700101,0,1,1,0
14,0,SR,5,3,1,0,1,19700101,19700101,19700101,0,1,1,0
15,0,Y,6,3,1,0,1,19700101,19700101,19700101,0,1,1,0
16,0,CS,6,3,1,0,1,19700101,19700101,19700101,0,1,1,0

# future and derivative definitions
